location_id,area_name
1,Akron
2,Albuquerque
3,Amarillo
4,Anaheim
5,Anchorage
6,Arlington
7,Atlanta
8,Augusta
9,Aurora
10,Austin
11,Bakersfield
12,Baltimore
13,Baton Rouge
14,Birmingham
15,Boise
16,Boston
17,Buffalo
18,Casper
19,Chandler
20,Charlotte
21,Chattanooga
22,Chesapeake
23,Chicago
24,Chula Vista
25,Cincinnati
26,Cleveland
27,Colorado Springs
28,Columbia
29,Columbus
30,Corpus Christi
31,Dallas
32,Denver
33,Des Moines
34,Detroit
35,El Paso
36,Fargo
37,Fontana
38,Fort Wayne
39,Fort Worth
40,Fremont
41,Fresno
42,Ft. Lauderdale
43,Garland
44,Gilbert
45,Glendale
46,Grand Prairie
47,Grand Rapids
48,Greensboro
49,Hialeah
50,Honolulu
51,Houston
52,Huntington Beach
53,Huntsville
54,Indianapolis
55,Irving
56,Jackson
57,Jacksonville
58,Jersey City
59,Kansas City
60,Lakewood
61,Lansing
62,Laredo
63,Las Vegas
64,Lexington
65,Lincoln
66,Little Rock
67,Long Beach
68,Los Angeles
69,Louisville
70,Lubbock
71,Madison
72,Memphis
73,Mesa
74,Miami
75,Milwaukee
76,Minneapolis
77,Modesto
78,Montgomery
79,Nashville
80,New Orleans
81,New York
82,Newark
83,Norfolk
84,North Las Vegas
85,Oakland
86,Omaha
87,Orlando
88,Oxnard
89,Philadelphia
90,Phoenix
91,Pittsburgh
92,Portsma
93,Providence
94,Raleigh
95,Reno
96,Richmond
97,Riverside
98,Sacramento
99,Salt Lake City
100,San Antonio
101,San Bernardino
102,San Diego
103,San Francisco
104,San Jose
105,Santa Ana
106,Santa Clarita
107,Santa Rosa
108,Scottsdale
109,Seattle
110,Shreveport
111,Southern
112,Spokane
113,Springfield
114,St. Louis
115,St. Petersburg
116,Tallahassee
117,Tampa
118,Toledo
119,Tucson
120,Tulsa
121,Vancouver
122,Virginia Beach
123,Washington
124,Wichita
125,Yonkers
